[2026-08-06T21:44:34.527Z] COMPANY: "Reliance Industries Limited" | QUERIES: ["Reliance Industries Limited" official website] | CANDIDATES: [https://www.ril.com] | SELECTED: "https://www.ril.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:46:43.012Z] COMPANY: "IndusInd Bank Limited" | QUERIES: ["IndusInd Bank Limited" official website] | CANDIDATES: [https://www.indusind.com] | SELECTED: "https://www.indusind.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:46:44.037Z] COMPANY: "Bajaj Finance Limited" | QUERIES: ["Bajaj Finance Limited" official website] | CANDIDATES: [https://www.bajajfinserv.in] | SELECTED: "https://www.bajajfinserv.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:46:44.149Z] COMPANY: "Bajaj Finserv Limited" | QUERIES: ["Bajaj Finserv Limited" official website] | CANDIDATES: [https://www.bajajfinserv.in] | SELECTED: "https://www.bajajfinserv.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:46:44.236Z] COMPANY: "HDFC Life Insurance Company Limited" | QUERIES: ["HDFC Life Insurance Company Limited" official website] | CANDIDATES: [https://www.hdfclife.com] | SELECTED: "https://www.hdfclife.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:16.590Z] COMPANY: "SBI Life Insurance Company Limited" | QUERIES: ["SBI Life Insurance Company Limited" official website] | CANDIDATES: [https://www.sbilife.co.in] | SELECTED: "https://www.sbilife.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:55.172Z] COMPANY: "ICICI Lombard General Insurance Company Limited" | QUERIES: ["ICICI Lombard General Insurance Company Limited" official website] | CANDIDATES: [https://www.icicilombard.com] | SELECTED: "https://www.icicilombard.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:55.511Z] COMPANY: "ICICI Prudential Life Insurance Company Limited" | QUERIES: ["ICICI Prudential Life Insurance Company Limited" official website] | CANDIDATES: [https://www.iciciprulife.com] | SELECTED: "https://www.iciciprulife.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:55.725Z] COMPANY: "HDFC Asset Management Company Limited" | QUERIES: ["HDFC Asset Management Company Limited" official website] | CANDIDATES: [https://www.hdfcfund.com] | SELECTED: "https://www.hdfcfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:55.890Z] COMPANY: "Nippon Life India Asset Management Limited" | QUERIES: ["Nippon Life India Asset Management Limited" official website] | CANDIDATES: [https://mf.nipponindiaim.com] | SELECTED: "https://mf.nipponindiaim.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:56.862Z] COMPANY: "Tata Consultancy Services Limited" | QUERIES: ["Tata Consultancy Services Limited" official website] | CANDIDATES: [https://www.tcs.com] | SELECTED: "https://www.tcs.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:57.049Z] COMPANY: "Infosys Limited" | QUERIES: ["Infosys Limited" official website] | CANDIDATES: [https://www.infosys.com] | SELECTED: "https://www.infosys.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:47:57.236Z] COMPANY: "Wipro Limited" | QUERIES: ["Wipro Limited" official website] | CANDIDATES: [https://www.wipro.com] | SELECTED: "https://www.wipro.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:48:17.768Z] COMPANY: "HCL Technologies Limited" | QUERIES: ["HCL Technologies Limited" official website] | CANDIDATES: [https://www.hcltech.com] | SELECTED: "https://www.hcltech.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:48:24.012Z] COMPANY: "Tech Mahindra Limited" | QUERIES: ["Tech Mahindra Limited" official website] | CANDIDATES: [https://www.techmahindra.com] | SELECTED: "https://www.techmahindra.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:48:31.656Z] COMPANY: "LTIMindtree Limited" | QUERIES: ["LTIMindtree Limited" official website] | CANDIDATES: [https://www.ltimindtree.com] | SELECTED: "https://www.ltimindtree.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:48:48.584Z] COMPANY: "Persistent Systems Limited" | QUERIES: ["Persistent Systems Limited" official website] | CANDIDATES: [https://www.persistent.com] | SELECTED: "https://www.persistent.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:49:13.539Z] COMPANY: "Mphasis Limited" | QUERIES: ["Mphasis Limited" official website] | CANDIDATES: [https://www.mphasis.com] | SELECTED: "https://www.mphasis.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:49:33.906Z] COMPANY: "Coforge Limited" | QUERIES: ["Coforge Limited" official website] | CANDIDATES: [https://www.coforge.com] | SELECTED: "https://www.coforge.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:49:49.775Z] COMPANY: "Oracle Financial Services Software Limited" | QUERIES: ["Oracle Financial Services Software Limited" official website] | CANDIDATES: [https://www.oracle.com/in/financial-services/] | SELECTED: "https://www.oracle.com/in/financial-services/" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:49:50.877Z] COMPANY: "L&T Technology Services Limited" | QUERIES: ["L&T Technology Services Limited" official website] | CANDIDATES: [https://www.ltts.com] | SELECTED: "https://www.ltts.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:49:51.033Z] COMPANY: "Tata Elxsi Limited" | QUERIES: ["Tata Elxsi Limited" official website] | CANDIDATES: [https://www.tataelxsi.com] | SELECTED: "https://www.tataelxsi.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:03.049Z] COMPANY: "Reliance Jio / Jio Financial Services Limited" | QUERIES: ["Reliance Jio / Jio Financial Services Limited" official website] | CANDIDATES: [https://www.jfs.in] | SELECTED: "https://www.jfs.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:03.342Z] COMPANY: "Bharti Airtel Limited" | QUERIES: ["Bharti Airtel Limited" official website] | CANDIDATES: [https://www.airtel.in] | SELECTED: "https://www.airtel.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:15.853Z] COMPANY: "Vodafone Idea Limited" | QUERIES: ["Vodafone Idea Limited" official website] | CANDIDATES: [https://www.myvi.in] | SELECTED: "https://www.myvi.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:28.546Z] COMPANY: "Tata Communications Limited" | QUERIES: ["Tata Communications Limited" official website] | CANDIDATES: [https://www.tatacommunications.com] | SELECTED: "https://www.tatacommunications.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:30.998Z] COMPANY: "Eternal Limited / Zomato" | QUERIES: ["Eternal Limited / Zomato" official website] | CANDIDATES: [https://www.zomato.com] | SELECTED: "https://www.zomato.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:37.145Z] COMPANY: "One97 Communications Limited / Paytm" | QUERIES: ["One97 Communications Limited / Paytm" official website] | CANDIDATES: [https://paytm.com] | SELECTED: "https://paytm.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:38.332Z] COMPANY: "FSN E-Commerce Ventures Limited / Nykaa" | QUERIES: ["FSN E-Commerce Ventures Limited / Nykaa" official website] | CANDIDATES: [https://www.nykaa.com] | SELECTED: "https://www.nykaa.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:50:45.618Z] COMPANY: "Info Edge (India) Limited" | QUERIES: ["Info Edge (India) Limited" official website] | CANDIDATES: [https://www.infoedge.in] | SELECTED: "https://www.infoedge.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:51:22.754Z] COMPANY: "IndiaMART InterMESH Limited" | QUERIES: ["IndiaMART InterMESH Limited" official website] | CANDIDATES: [https://www.indiamart.com] | SELECTED: "https://www.indiamart.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:51:36.460Z] COMPANY: "PB Fintech Limited / Policybazaar" | QUERIES: ["PB Fintech Limited / Policybazaar" official website] | CANDIDATES: [https://www.policybazaar.com] | SELECTED: "https://www.policybazaar.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:51:44.806Z] COMPANY: "Delhivery Limited" | QUERIES: ["Delhivery Limited" official website] | CANDIDATES: [https://www.delhivery.com] | SELECTED: "https://www.delhivery.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:51:58.365Z] COMPANY: "Avenue Supermarts Limited" | QUERIES: ["Avenue Supermarts Limited" official website] | CANDIDATES: [https://www.dmartindia.com] | SELECTED: "https://www.dmartindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:52:11.287Z] COMPANY: "Trent Limited" | QUERIES: ["Trent Limited" official website] | CANDIDATES: [https://www.mywestside.com] | SELECTED: "https://www.mywestside.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:52:31.126Z] COMPANY: "Titan Company Limited" | QUERIES: ["Titan Company Limited" official website] | CANDIDATES: [https://www.titancompany.in] | SELECTED: "https://www.titancompany.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:52:32.416Z] COMPANY: "Hindustan Unilever Limited" | QUERIES: ["Hindustan Unilever Limited" official website] | CANDIDATES: [https://www.hul.co.in] | SELECTED: "https://www.hul.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:52:32.863Z] COMPANY: "ITC Limited" | QUERIES: ["ITC Limited" official website] | CANDIDATES: [https://www.itcportal.com] | SELECTED: "https://www.itcportal.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:52:43.727Z] COMPANY: "Nestle India Limited" | QUERIES: ["Nestle India Limited" official website] | CANDIDATES: [https://www.nestle.in] | SELECTED: "https://www.nestle.in" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:52:44.169Z] COMPANY: "Britannia Industries Limited" | QUERIES: ["Britannia Industries Limited" official website] | CANDIDATES: [https://www.britannia.co.in] | SELECTED: "https://www.britannia.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:52:58.607Z] COMPANY: "Dabur India Limited" | QUERIES: ["Dabur India Limited" official website] | CANDIDATES: [https://www.dabur.com] | SELECTED: "https://www.dabur.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:53:03.422Z] COMPANY: "Marico Limited" | QUERIES: ["Marico Limited" official website] | CANDIDATES: [https://marico.com] | SELECTED: "https://marico.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:53:20.029Z] COMPANY: "Tata Consumer Products Limited" | QUERIES: ["Tata Consumer Products Limited" official website] | CANDIDATES: [https://www.tataconsumer.com] | SELECTED: "https://www.tataconsumer.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:53:22.390Z] COMPANY: "Apollo Hospitals Enterprise Limited" | QUERIES: ["Apollo Hospitals Enterprise Limited" official website] | CANDIDATES: [https://www.apollohospitals.com] | SELECTED: "https://www.apollohospitals.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:53:55.726Z] COMPANY: "Fortis Healthcare Limited" | QUERIES: ["Fortis Healthcare Limited" official website] | CANDIDATES: [https://www.fortishealthcare.com] | SELECTED: "https://www.fortishealthcare.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:53:57.523Z] COMPANY: "Narayana Hrudayalaya Limited" | QUERIES: ["Narayana Hrudayalaya Limited" official website] | CANDIDATES: [https://www.narayanahealth.org] | SELECTED: "https://www.narayanahealth.org" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:54:18.891Z] COMPANY: "Max Healthcare Institute Limited" | QUERIES: ["Max Healthcare Institute Limited" official website] | CANDIDATES: [https://www.maxhealthcare.in] | SELECTED: "https://www.maxhealthcare.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:54:19.059Z] COMPANY: "Sun Pharmaceutical Industries Limited" | QUERIES: ["Sun Pharmaceutical Industries Limited" official website] | CANDIDATES: [https://sunpharma.com] | SELECTED: "https://sunpharma.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:54:19.185Z] COMPANY: "Cipla Limited" | QUERIES: ["Cipla Limited" official website] | CANDIDATES: [https://www.cipla.com] | SELECTED: "https://www.cipla.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:54:31.275Z] COMPANY: "Dr. Reddy’s Laboratories Limited" | QUERIES: ["Dr. Reddy’s Laboratories Limited" official website] | CANDIDATES: [https://www.drreddys.com] | SELECTED: "https://www.drreddys.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:54:50.562Z] COMPANY: "Lupin Limited" | QUERIES: ["Lupin Limited" official website] | CANDIDATES: [https://www.lupin.com] | SELECTED: "https://www.lupin.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:55:04.627Z] COMPANY: "Aurobindo Pharma Limited" | QUERIES: ["Aurobindo Pharma Limited" official website] | CANDIDATES: [https://www.aurobindo.com] | SELECTED: "https://www.aurobindo.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:55:22.195Z] COMPANY: "Biocon Limited" | QUERIES: ["Biocon Limited" official website] | CANDIDATES: [https://www.biocon.com] | SELECTED: "https://www.biocon.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:55:39.330Z] COMPANY: "Mankind Pharma Limited" | QUERIES: ["Mankind Pharma Limited" official website] | CANDIDATES: [https://www.mankindpharma.com] | SELECTED: "https://www.mankindpharma.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:55:50.034Z] COMPANY: "Alkem Laboratories Limited" | QUERIES: ["Alkem Laboratories Limited" official website] | CANDIDATES: [https://www.alkemlabs.com] | SELECTED: "https://www.alkemlabs.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:00.278Z] COMPANY: "Reliance Retail / Reliance Industries Limited" | QUERIES: ["Reliance Retail / Reliance Industries Limited" official website] | CANDIDATES: [https://relianceretail.com] | SELECTED: "https://relianceretail.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:05.203Z] COMPANY: "Tata Motors Limited" | QUERIES: ["Tata Motors Limited" official website] | CANDIDATES: [https://www.tatamotors.com] | SELECTED: "https://www.tatamotors.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:07.527Z] COMPANY: "Mahindra & Mahindra Limited" | QUERIES: ["Mahindra & Mahindra Limited" official website] | CANDIDATES: [https://www.mahindra.com] | SELECTED: "https://www.mahindra.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:08.888Z] COMPANY: "Maruti Suzuki India Limited" | QUERIES: ["Maruti Suzuki India Limited" official website] | CANDIDATES: [https://www.marutisuzuki.com] | SELECTED: "https://www.marutisuzuki.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:20.890Z] COMPANY: "Bajaj Auto Limited" | QUERIES: ["Bajaj Auto Limited" official website] | CANDIDATES: [https://www.bajajauto.com] | SELECTED: "https://www.bajajauto.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:23.994Z] COMPANY: "TVS Motor Company Limited" | QUERIES: ["TVS Motor Company Limited" official website] | CANDIDATES: [https://www.tvsmotor.com] | SELECTED: "https://www.tvsmotor.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:28.076Z] COMPANY: "Eicher Motors Limited" | QUERIES: ["Eicher Motors Limited" official website] | CANDIDATES: [https://www.eichermotors.com] | SELECTED: "https://www.eichermotors.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:37.007Z] COMPANY: "Hyundai Motor India Limited" | QUERIES: ["Hyundai Motor India Limited" official website] | CANDIDATES: [https://www.hyundai.com/in] | SELECTED: "https://www.hyundai.com/in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:38.654Z] COMPANY: "Larsen & Toubro Limited" | QUERIES: ["Larsen & Toubro Limited" official website] | CANDIDATES: [https://www.larsentoubro.com] | SELECTED: "https://www.larsentoubro.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:56:50.689Z] COMPANY: "Siemens Limited" | QUERIES: ["Siemens Limited" official website] | CANDIDATES: [https://www.siemens.com/in/en.html] | SELECTED: "https://www.siemens.com/in/en.html" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:57:07.786Z] COMPANY: "ABB India Limited" | QUERIES: ["ABB India Limited" official website] | CANDIDATES: [https://new.abb.com/indian-subcontinent] | SELECTED: "https://new.abb.com/indian-subcontinent" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:57:13.418Z] COMPANY: "Bosch Limited" | QUERIES: ["Bosch Limited" official website] | CANDIDATES: [https://www.bosch.in] | SELECTED: "https://www.bosch.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:57:29.906Z] COMPANY: "Cummins India Limited" | QUERIES: ["Cummins India Limited" official website] | CANDIDATES: [https://www.cummins.com/en/in] | SELECTED: "https://www.cummins.com/en/in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:57:32.479Z] COMPANY: "Bharat Electronics Limited" | QUERIES: ["Bharat Electronics Limited" official website] | CANDIDATES: [https://bel-india.in] | SELECTED: "https://bel-india.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:57:34.093Z] COMPANY: "Hindustan Aeronautics Limited" | QUERIES: ["Hindustan Aeronautics Limited" official website] | CANDIDATES: [https://hal-india.co.in] | SELECTED: "https://hal-india.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:57:44.379Z] COMPANY: "NTPC Limited" | QUERIES: ["NTPC Limited" official website] | CANDIDATES: [https://www.ntpc.co.in] | SELECTED: "https://www.ntpc.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:58:00.193Z] COMPANY: "Power Grid Corporation of India Limited" | QUERIES: ["Power Grid Corporation of India Limited" official website] | CANDIDATES: [https://www.powergrid.in] | SELECTED: "https://www.powergrid.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:58:26.969Z] COMPANY: "Tata Power Company Limited" | QUERIES: ["Tata Power Company Limited" official website] | CANDIDATES: [https://www.tatapower.com] | SELECTED: "https://www.tatapower.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:58:29.151Z] COMPANY: "JSW Steel Limited" | QUERIES: ["JSW Steel Limited" official website] | CANDIDATES: [https://www.jswsteel.in] | SELECTED: "https://www.jswsteel.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:58:49.184Z] COMPANY: "Tata Steel Limited" | QUERIES: ["Tata Steel Limited" official website] | CANDIDATES: [https://www.tatasteel.com] | SELECTED: "https://www.tatasteel.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:58:51.490Z] COMPANY: "Hindalco Industries Limited" | QUERIES: ["Hindalco Industries Limited" official website] | CANDIDATES: [https://www.hindalco.com] | SELECTED: "https://www.hindalco.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:59:10.825Z] COMPANY: "Vedanta Limited" | QUERIES: ["Vedanta Limited" official website] | CANDIDATES: [https://www.vedantalimited.com] | SELECTED: "https://www.vedantalimited.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:59:29.291Z] COMPANY: "Coal India Limited" | QUERIES: ["Coal India Limited" official website] | CANDIDATES: [https://www.coalindia.in] | SELECTED: "https://www.coalindia.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:59:35.452Z] COMPANY: "Indian Oil Corporation Limited" | QUERIES: ["Indian Oil Corporation Limited" official website] | CANDIDATES: [https://iocl.com] | SELECTED: "https://iocl.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:59:37.796Z] COMPANY: "Bharat Petroleum Corporation Limited" | QUERIES: ["Bharat Petroleum Corporation Limited" official website] | CANDIDATES: [https://www.bharatpetroleum.in] | SELECTED: "https://www.bharatpetroleum.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T21:59:44.203Z] COMPANY: "Oil and Natural Gas Corporation Limited" | QUERIES: ["Oil and Natural Gas Corporation Limited" official website] | CANDIDATES: [https://ongcindia.com] | SELECTED: "https://ongcindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T22:00:01.971Z] COMPANY: "GAIL (India) Limited" | QUERIES: ["GAIL (India) Limited" official website] | CANDIDATES: [https://gailonline.com] | SELECTED: "https://gailonline.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T22:00:14.662Z] COMPANY: "DLF Limited" | QUERIES: ["DLF Limited" official website] | CANDIDATES: [https://www.dlf.in] | SELECTED: "https://www.dlf.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T22:00:29.181Z] COMPANY: "Godrej Properties Limited" | QUERIES: ["Godrej Properties Limited" official website] | CANDIDATES: [https://www.godrejproperties.com] | SELECTED: "https://www.godrejproperties.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T22:00:29.424Z] COMPANY: "Prestige Estates Projects Limited" | QUERIES: ["Prestige Estates Projects Limited" official website] | CANDIDATES: [https://www.prestigeconstructions.com] | SELECTED: "https://www.prestigeconstructions.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T22:00:36.055Z] COMPANY: "Oberoi Realty Limited" | QUERIES: ["Oberoi Realty Limited" official website] | CANDIDATES: [https://www.oberoirealty.com] | SELECTED: "https://www.oberoirealty.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
